ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,Cluster
462691,Male,Yes,25,No,Doctor,1.0,Average,2.0,Cat_4,B,0
462934,Male,Yes,56,No,Executive,1.0,High,2.0,Cat_6,A,0
465837,Male,No,62,Yes,Unemployed,0.0,Low,1.0,Cat_6,A,1
464613,Female,No,35,Yes,Artist,0.0,Low,3.0,Cat_6,B,1
467515,Male,Yes,28,Yes,Engineer,0.0,Average,2.0,Cat_6,A,0
463429,Female,No,28,Yes,Artist,7.0,Low,3.0,Cat_6,A,3
464024,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_7,D,2
460691,Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3,D,3
461825,Female,No,56,No,Engineer,1.0,Low,1.0,Cat_6,A,1
467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,B,0
465634,Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4,B,2
464801,Male,No,40,No,Marketing,1.0,Low,1.0,Cat_4,D,1
459429,Female,Yes,25,Yes,Healthcare,1.0,Low,2.0,Cat_6,D,1
459888,Female,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6,D,0
463467,Female,No,23,No,Healthcare,0.0,Low,4.0,Yes,D,2
462036,Female,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B,0
461282,Male,No,21,No,Healthcare,0.0,Low,4.0,Yes,D,2
460448,Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_3,A,3
464464,Male,No,28,No,Healthcare,0.0,Low,4.0,Cat_2,C,2
462410,Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_7,B,2
467252,Female,No,33,Yes,Unemployed,0.0,Low,4.0,Yes,D,2
459756,Female,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4,B,0
463789,Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6,C,1
466947,Male,Yes,57,No,Executive,1.0,High,5.0,Cat_6,C,0
464150,Female,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6,C,0
465693,Female,Yes,25,Yes,Healthcare,1.0,High,4.0,Cat_4,A,0
461670,Male,Yes,59,Yes,Artist,0.0,Average,6.0,Cat_6,C,0
466768,Female,Yes,36,Yes,Artist,0.0,Low,4.0,Cat_6,C,1
461550,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6,A,3
462438,Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2,D,2
460704,Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6,B,1
464884,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_4,A,1
467050,Female,No,21,No,Engineer,0.0,Low,5.0,Cat_2,B,2
460738,Female,No,49,No,Engineer,1.0,Low,2.0,Cat_7,A,1
466176,Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,B,3
459488,Male,Yes,47,No,Artist,1.0,Average,4.0,Cat_6,A,0
467773,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6,C,0
465425,Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6,B,2
462318,Female,Yes,82,No,Lawyer,0.0,Average,2.0,Cat_6,A,0
466078,Female,Yes,51,No,Executive,1.0,Low,1.0,Cat_6,A,1
460792,Female,No,42,No,Homemaker,11.0,Low,2.0,Cat_6,A,3
460197,Male,No,38,Yes,Artist,8.0,Low,3.0,Cat_2,A,3
459375,Male,Yes,18,No,Executive,0.0,High,4.0,Cat_6,A,0
463862,Male,Yes,50,Yes,Artist,6.0,Average,3.0,Cat_6,C,0
460144,Female,No,46,Yes,Doctor,1.0,Low,2.0,Cat_3,A,1
462721,Female,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6,D,0
459637,Female,No,33,No,Engineer,1.0,Low,4.0,Cat_6,C,2
465809,Female,No,25,No,Homemaker,1.0,Low,7.0,Cat_4,B,2
466915,Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2,D,0
467343,Male,No,72,Yes,Artist,1.0,Low,1.0,Cat_6,B,1
466268,Female,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4,C,0
464868,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4,A,3
464038,Male,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6,A,1
460176,Female,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6,C,1
462161,Female,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6,D,2
464841,Male,Yes,19,No,Entertainment,0.0,High,3.0,Cat_4,D,0
464893,Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,B,1
464443,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6,B,0
467619,Male,Yes,65,Yes,Lawyer,1.0,High,2.0,Cat_6,B,0
465974,Male,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4,C,0
462075,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,B,1
459494,Female,Yes,69,No,Engineer,9.0,Low,3.0,Cat_6,A,3
466921,Female,No,22,No,Healthcare,3.0,Low,3.0,Cat_6,D,2
463544,Male,Yes,47,Yes,Executive,1.0,Average,4.0,Cat_6,C,0
461167,Male,Yes,29,Yes,Marketing,1.0,High,2.0,Cat_3,A,0
467364,Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3,C,0
462408,Male,No,32,Yes,Artist,1.0,Low,2.0,Cat_6,A,1
466224,Female,No,38,Yes,Healthcare,0.0,Low,1.0,Cat_2,C,1
465151,Male,Yes,59,Yes,Artist,0.0,Low,1.0,Cat_6,B,1
467216,Female,No,26,Yes,Entertainment,1.0,Low,1.0,Cat_6,D,1
460586,Male,No,26,Yes,Healthcare,1.0,Low,2.0,Cat_3,A,2
461197,Male,No,28,No,Marketing,0.0,Low,1.0,Cat_3,D,2
462776,Female,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6,C,0
465058,Female,No,43,Yes,Entertainment,1.0,Low,1.0,Cat_6,B,1
464088,Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6,D,2
459471,Female,No,32,No,Artist,1.0,Low,8.0,Cat_6,C,2
464695,Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4,D,2
462331,Female,No,31,No,Entertainment,0.0,Low,2.0,Cat_6,D,2
466523,Male,Yes,39,Yes,Executive,1.0,High,3.0,Cat_3,B,0
465337,Female,Yes,43,No,Engineer,1.0,Low,3.0,Cat_7,A,1
460834,Male,Yes,25,No,Doctor,1.0,Low,2.0,Cat_1,A,2
466824,Male,Yes,40,Yes,Artist,3.0,High,3.0,Cat_6,A,0
461607,Female,Yes,40,Yes,Entertainment,7.0,Average,2.0,Cat_3,B,3
465091,Male,Yes,63,Yes,Entertainment,1.0,Average,3.0,Cat_6,C,0
459532,Female,Yes,27,Yes,Healthcare,1.0,Low,2.0,Cat_6,D,1
466999,Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,D,2
466597,Female,No,19,No,Healthcare,1.0,Low,2.0,Cat_6,D,2
464075,Female,Yes,86,Yes,Lawyer,0.0,High,2.0,Cat_6,B,0
463394,Male,Yes,41,Yes,Marketing,1.0,High,2.0,Cat_6,B,0
462163,Female,Yes,27,Yes,Artist,4.0,Average,2.0,Cat_3,C,3
463895,Female,Yes,70,No,Doctor,0.0,Average,2.0,Cat_6,B,0
464767,Female,Yes,53,No,Engineer,8.0,Average,4.0,Cat_4,B,3
464763,Female,Yes,49,No,Engineer,1.0,Average,4.0,Cat_4,B,0
460718,Male,Yes,55,No,Executive,3.0,Low,2.0,Cat_4,D,1
461989,Female,Yes,57,Yes,Engineer,0.0,Average,4.0,Cat_2,C,0
466374,Male,Yes,83,No,Lawyer,1.0,Low,1.0,Cat_4,B,1
463738,Male,Yes,43,No,Executive,0.0,High,4.0,Cat_6,A,0
465967,Male,Yes,36,No,Doctor,6.0,Low,3.0,Cat_6,A,3
462260,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6,C,1
467234,Female,No,30,No,Homemaker,0.0,Low,4.0,Cat_6,D,2
466573,Female,No,37,Yes,Artist,5.0,Low,2.0,Cat_6,B,3
463229,Female,No,22,No,Marketing,0.0,Low,1.0,Cat_5,B,2
459768,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D,2
462541,Male,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6,B,0
467714,Male,Yes,89,Yes,Lawyer,13.0,Low,1.0,Cat_6,A,3
467730,Male,No,18,No,Healthcare,1.0,Low,4.0,Cat_6,D,2
459474,Male,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2,D,3
460093,Female,No,45,Yes,Artist,4.0,Low,1.0,Cat_3,A,1
467865,Female,No,35,Yes,Artist,3.0,Low,1.0,Cat_4,A,1
465758,Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,D,3
464184,Female,Yes,39,No,Engineer,4.0,Average,2.0,Cat_6,B,0
462618,Female,No,32,Yes,Healthcare,1.0,Low,5.0,Cat_4,D,2
464226,Female,Yes,62,Yes,Artist,2.0,Average,3.0,Cat_6,C,0
465432,Female,Yes,58,Yes,Engineer,0.0,Average,4.0,Cat_4,B,0
464087,Female,No,32,No,Engineer,1.0,Low,4.0,Cat_6,C,2
466627,Male,No,25,No,Healthcare,0.0,Low,5.0,Cat_6,C,2
467380,Female,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C,0
465842,Female,No,36,Yes,Entertainment,10.0,Low,2.0,Cat_6,A,3
464622,Female,No,30,No,Healthcare,8.0,Low,3.0,Cat_6,A,2
462083,Male,No,19,No,Healthcare,1.0,Low,5.0,Cat_6,D,2
460910,Male,No,27,Yes,Healthcare,0.0,Low,2.0,Cat_6,A,1
460255,Female,No,38,Yes,Doctor,14.0,Low,1.0,Cat_6,A,3
460109,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,C,3
464306,Male,No,29,Yes,Artist,3.0,Low,1.0,Cat_6,B,1
466835,Male,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_7,B,0
465192,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,A,1
463380,Female,Yes,69,Yes,Engineer,1.0,Low,1.0,Cat_3,A,1
462391,Female,No,26,No,Healthcare,1.0,Low,8.0,Cat_7,C,2
